index,time,mp1,mp2,mp3,mp4,mp5,mp6,mp7,mt1,mt2,mt3,mt4,mt5,mt6,mt7,dt
120,120,0.24,0.000137219,0.000629052,0.000235011,-2.64852e-05,0.00115672,6.65724e-05,0.000806658,0.210904,-1.03652,-0.0739337,0.883172,-0.246505,0.435212,0.0270339,0.002
121,121,0.242,0.000150881,0.000654998,0.000242081,-2.64852e-05,0.0011874,6.93886e-05,0.000826133,0.200616,-1.01337,-0.0793107,0.873762,-0.246505,0.431207,0.0270339,0.002
122,122,0.244,0.000164484,0.000680524,0.000248972,-2.66049e-05,0.00121904,7.29839e-05,0.000845307,0.198044,-0.995363,-0.0658682,0.854943,-0.242983,0.426201,0.0260326,0.002
123,123,0.246,0.000177966,0.000705511,0.000256103,-2.6545e-05,0.00125077,7.70586e-05,0.000863943,0.195472,-0.951639,-0.075278,0.840156,-0.242103,0.424866,0.0246976,0.002
124,124,0.248,0.000191508,0.000730678,0.000264132,-2.66049e-05,0.00128279,7.99947e-05,0.000882398,0.185184,-0.923347,-0.080655,0.819992,-0.250907,0.429205,0.0240301,0.002
125,125,0.25,0.00020481,0.000756564,0.00027372,-2.66049e-05,0.00131481,8.18522e-05,0.000900914,0.144032,-0.920775,-0.102163,0.790419,-0.253548,0.432542,0.0233626,0.002
126,126,0.252,0.000218173,0.000783169,0.000285165,-2.66649e-05,0.00134751,8.33503e-05,0.00091943,0.146604,-0.923347,-0.103507,0.782353,-0.25795,0.434211,0.0220276,0.002
127,127,0.254,0.000231356,0.000810373,0.000298167,-2.66649e-05,0.00138077,8.44888e-05,0.000937406,0.136316,-0.915632,-0.0846877,0.776976,-0.242103,0.431875,0.0193576,0.002
128,128,0.256,0.000244538,0.000837637,0.000312249,-2.66649e-05,0.00141471,8.58669e-05,0.000956042,0.14146,-0.920775,-0.0819992,0.776976,-0.240342,0.428203,0.0216939,0.002
129,129,0.258,0.000257781,0.000865201,0.000327469,-2.66049e-05,0.00144971,8.73051e-05,0.000975516,0.120884,-0.938779,-0.0994745,0.795796,-0.252668,0.426201,0.0186901,0.002
130,130,0.26,0.000270664,0.000893424,0.000343468,-2.66649e-05,0.00148537,8.8863e-05,0.000996668,0.0925919,-0.956783,-0.110228,0.798484,-0.252668,0.422196,0.0160201,0.002
